affected#a#1	100
affected#a#2	200
affected#a#3	100
banker#n#1	100
banker#n#2	100
barker#n#1	100
barker#n#2	100
bop#n#1	None
bop#n#2	100
bop#v#1	100
bop#v#2	200
bowler#n#1	100
bowler#n#2	100
bowler#n#3	200
boxing#n#1	200
boxing#n#2	100
bride#n#1	100
bride#n#2	None
bride#n#3	100
buggy#a#1	200
buggy#a#2	200
buggy#n#1	100
burden#n#1	100
burden#n#2	100
burden#n#3	100
burden#n#4	100
burden#v#1	100
burden#v#2	100
bus#n#1	100
bus#n#2	100
bus#n#3	100
bus#n#4	100
bus#v#1	100
bus#v#2	100
bus#v#3	200
cab#n#1	100
cab#n#2	100
cab#n#3	100
cab#v#1	100
camp#a#1	200
camp#n#1	100
camp#n#2	100
camp#n#3	100
camp#n#4	100
camp#n#5	100
camp#n#6	200
camp#n#7	100
camp#n#8	100
camp#v#1	100
camp#v#2	100
camp#v#3	100
chess#n#1	200
chess#n#2	100
chip#n#1	100
chip#n#2	100
chip#n#3	100
chip#n#4	100
chip#n#5	100
chip#n#6	100
chip#n#7	100
chip#n#8	100
chip#n#9	100
chip#v#1	100
chip#v#2	100
chip#v#3	100
chip#v#4	100
chip#v#5	100
chow#n#1	None
chow#n#2	100
chow#n#3	200
chum#n#1	100
chum#n#2	200
chum#n#3	None
chute#n#1	300
chute#n#2	100
chute#v#1	300
cocktail#n#1	100
cocktail#n#2	100
console#n#1	200
console#n#2	200
console#n#3	None
console#n#4	200
console#v#1	100
cop#n#1	200
cop#v#1	100
cop#v#2	100
corruption#n#1	100
corruption#n#2	100
corruption#n#3	100
corruption#n#4	100
corruption#n#5	100
corruption#n#6	100
cortex#n#1	100
cortex#n#2	100
cortex#n#3	100
cosmetic#a#1	100
cosmetic#a#2	100
cosmetic#n#1	100
cosmic#a#1	100
cosmic#a#2	100
cost#n#1	100
cost#n#2	100
cost#n#3	100
cost#v#1	100
cost#v#2	100
costly#a#1	100
costly#a#2	100
council#n#1	100
council#n#2	100
council#n#3	100
cramp#n#1	100
cramp#n#2	200
cramp#n#3	200
