calf	200	n	shin
can	100	v	allowed
can	200	n,v	container
canon	000	n	gorge
canon	100	n	law
canon	200	n	clergyman
cant	100	n,v	hypocrisy
cant	200	v,n	tilt
cap	100	n,v	hat
cap	200	n	capitalization
cape	100	n,v	cloak
cape	200	n	headland
caper	100	v,n	frolic
caper	200	n	plant
capital	100	n,a	city
capital	400	n	pillar
card	100	n,v	paper
card	200	v,n	clean
carnation	100	n	flower
carnation	200	n	color
carp	100	n	fish
carp	200	v	complain
case	100	n	instance
case	200	n,v	container
cashier	100	n	clerk
cashier	200	v	dismiss
cast	100	v,n	throw
cast	200	n,v	actors
castor	100	n	wheel
castor	200	n	substance
cat	100	n,v	mammal
cat	200	n	device
cat	300	n	boat
chaff	100	n	rubbish
chaff	200	n,v	jokes
chap	100	v,n	crack
chap	200	n	gentleman
chap	300	n	jaw
char	100	v,n	burn
char	200	n,v	female attendant
char	500	n	tea
char	600	n	fish
charger	100	n	horse
charger	200	n	dish
chase	100	v,n	pursue
chase	200	v	engrave
chase	300	n	box
chase	400	n	groove
chat	100	v,n	talk
chat	200	n	songbird
check	100	v,n	examine
check	200	n,a	pattern
cheese	100	n	food
cheese	200	n	celebrity
cheese	300	v	frustrate
chime	100	n,v	instrument
chime	200	n	rim
chine	100	n,v	backbone
chine	200	n	ravine
chine	300	n	angle
chink	100	n	opening
chink	200	v,n	ring
chink	400	n	person
chit	100	n	note
chit	200	n	woman
chit	300	v	sprout
chop	100	v,n	cut
chop	200	v	change
chop	300	n	trademark
chord	100	n,v	harmony
chord	200	n	line
chuck	100	v,n	throw
chuck	200	v,n	touch
chuck	500	n	device
chuck	600	n	food
chuck	700	n	title
chuck	800	n	marmot
clamp	100	n,v	fastener
clamp	200	n	heap
clap	100	v,n	applaud
clap	200	n	disease
cleave	100	v	split
cleave	200	v	sticking
clink	100	n,v	sound
clink	200	n	prison
clinker	100	n	residue
clinker	200	n	failure
clip	100	n,v	fastener
clip	200	v,n	cut
close	100	a,r,n	near
close	200	v,n	shut
clove	100	n	spice
clove	200	n	bulb
clove	300	v	sticking
club	100	n,v	association
club	200	n,v	weapon
clutch	100	v,n,a	grasp
clutch	400	n	group
cob	300	n	become annoyed
cob	400	n	fish
cobble	100	n	stone
cobble	200	v	repair
cock	100	n,v	male
cock	200	n,v	pile
cockle	100	n	shell
cockle	200	v	wrinkle
cod	100	n	fish
cod	200	a,n,v	fake
cod	500	n	nonsense
coil	100	n,v	gather
coil	200	n	confusion
collect	100	v,r,a,n	accumulate
collect	500	n	prayer
colon	000	n	currency
colon	100	n	punctuation
colon	200	n	intestine
coma	100	n	sleep
coma	200	n	cloud
commune	100	n	group
commune	200	v	share
compact	100	a,v,n	tight
compact	200	n,v	agreement
companion	100	n,v	friend
companion	200	n	covering
compound	100	n,a,v	mixture
compound	400	n	enclosure
con	100	v,n	trick
con	200	n	disadvantage
con	300	n	criminal
con	400	v	study
con	500	n	conference
con	600	v,n	steer
consort	100	n,v	spouse
consort	200	n	performance
content	100	a,v,n	satisfaction
content	400	n	load
converse	100	v,n	talk
converse	200	n,a	opposite
cope	100	v	manage
cope	200	n,v	cloak
copper	100	n,v	metal
copper	200	n	police
corn	100	n	crop
corn	200	n	swelling
corporal	100	n	rank
corporal	200	a	bodily
corporal	300	n	cloth
cot	100	n	bed
cot	200	n	shelter
count	100	v,n	tally
count	200	n	nobleman
counter	100	n	work top
counter	200	v,n,r,a	opposite
counter	600	n	shoe
cove	100	n,v	recess
cove	200	n	man
cow	100	n	animal
cow	200	v	intimidate
crab	100	n,v	crustacean
crab	200	n	apple
crab	300	v	complain
crane	100	n,v	machine
crane	200	n	bird
crank	100	v,n	turn
crank	200	n	grouch
crank	300	a	weak
crash	100	v,n,a,r	collide
crash	500	n	linen
cricket	100	n	insect
cricket	200	n	sport
cricket	300	n	stool
crock	100	n	pot
crock	200	n,v	elder
croup	100	n	inflammation
croup	200	n	rump
crow	000	n,a	language
crow	100	n	bird
crow	200	v,n	boast
cue	100	n,v	signal
cue	200	n,v	rod
cuff	100	n,v	glove
cuff	200	v,n	strike
curry	100	n,v	dish
curry	200	v	groom
dab	100	v,n	press
dab	200	n	flatfish
dab	300	n,v	position
dam	100	n,v	barrier
dam	200	n	mother
darn	100	v,n	mend
darn	200	v,a	damn
date	100	n,v	day
date	200	n	fruit
deal	100	v,n	distribute
deal	200	n	plank
dean	100	n	leader
dean	200	n	valley
defer	100	v	postpone
defer	200	v	submit
defile	100	v	desecrate
defile	200	n,v	gorge
demean	100	v	humiliate
demean	200	v	manage
desert	100	v	abandon
desert	200	n,a	wasteland
deuce	100	n	two
deuce	200	n	devil
dicky	100	n	material
dicky	200	a	weak
die	100	v	perish
die	200	n	dice
diet	100	n,v	food
diet	200	n	assembly
distemper	100	n	disease
distemper	200	n,v	paint
divine	100	a,n	sacred
divine	200	v	predict
do	100	v,n	accomplish
do	400	n	note
dock	100	n,v	platform
dock	200	v,n	deduct
dock	500	n	enclosure
dock	600	n	weed
dodder	100	v	tremble
dodder	200	n	plant
dole	100	n,v	allowance
dole	200	n	sorrow
don	100	n	title
don	200	v	equip
dot	100	n,v	mark
